ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C2H6_Hen,C2H6_Qst,C2H4_Hen,C2H4_Qst,C2H6_Ds,C2H4_Ds,C2H6_P0,C2H4_P0,C2H6_P0_barrer,C2H4_P0_barrer,Sads_C2H6_C2H4,Sads_C2H4_C2H6,Sdiff_C2H4_C2H6,Sperm_C2H6_C2H4,Sperm_C2H4_C2H6
2048,MN8308,11501.0,0.98858,6.30588,9.53214,1961.18994,1983.83997,0.68177,0.68964,2.575e-05,15.10648,2.067e-05,18.155559,7.633e-09,9.243e-09,1.94305151855e-10,1.8887098690980004e-10,581751.9516616766,565481.9967359283,1.2457668118045475,0.8027184466019418,1.210926241320582,1.0287718353893875,0.9720328313823857
99,M8471,11862.2998,0.8319,5.67558,8.77838,2212.59009,2659.67993,0.69557,0.83612,2.998e-05,16.25404,2.458e-05,18.05757,7.933e-09,9.387e-09,1.9785189174600003e-10,1.91946333474e-10,592370.9333712576,574689.6211796408,1.2196908055329538,0.819879919946631,1.183285011975293,1.0307667157018134,0.9701516208923515
641,MN42625,10751.2998,0.59396,7.01755,12.54788,2048.42993,3448.78003,0.75431,1.26997,2.415e-05,14.784948,1.841e-05,16.332191,1.031e-08,1.311e-08,1.4788802154e-10,1.43355275196e-10,442778.5076047905,429207.41076646716,1.311787072243346,0.7623188405797102,1.2715809893307468,1.0316189713828297,0.9693501454898158
1066,MN5318,26151.0996,0.54817,7.46368,10.48755,2375.28003,4333.08008,0.79511,1.45047,1.502e-05,13.723288,1.077e-05,13.801993,1.921e-08,2.592e-08,1.5816579241400003e-10,1.5302626012800002e-10,473550.2766886229,458162.455473054,1.394614670380687,0.7170439414114514,1.349297241020302,1.03358594976902,0.9675054118367944
1573,MN6711,20321.0996,0.63684,7.64821,10.9682,2299.29004,3610.45996,0.74986,1.17747,1.875e-05,16.033542,1.241e-05,14.480857,1.038e-08,1.517e-08,1.2394498499999996e-10,1.1989130734799997e-10,371092.7694610778,358956.01002395205,1.5108783239323125,0.6618666666666667,1.4614643545279384,1.033811272407212,0.9672945407835581
37,M7897,4499.3501,0.88595,4.77835,8.22264,1797.75,2029.16003,0.666,0.75173,3.877e-05,13.658618,3.282e-05,17.346345,8.85e-09,1.011e-08,3.0398229127500005e-10,2.9396724669e-10,910126.6205838326,880141.4571556887,1.1812918951858624,0.8465308228011349,1.1423728813559322,1.0340685729371795,0.9670538551999402
55,M8386,11643.2002,0.61943,6.98063,10.16852,2240.03003,3616.27002,0.74598,1.2043,2.942e-05,16.888499,2.285e-05,16.999384,9.907e-09,1.232e-08,1.8054150835420003e-10,1.7437697816000004e-10,540543.4381862277,522086.760958084,1.287527352297593,0.7766825288919103,1.243565155950338,1.035351743442553,0.9658553301653715
2418,MM8657,7193.18,0.62765,7.38791,9.74128,2389.98,3807.84,0.76602,1.22046,2.16e-05,16.5204,1.633e-05,15.562341,1.62e-08,2.067e-08,2.1962728800000003e-10,2.1185767141500004e-10,657566.7305389224,634304.405434132,1.3227189222290263,0.7560185185185185,1.275925925925926,1.0366737561736925,0.9646236282578876
2383,MM540,19965.9,0.65328,6.99897,9.28746,2132.94,3264.98,0.72332,1.10722,3.98e-05,15.752,3.118e-05,18.165041,9.27e-09,1.141e-08,2.4102504288e-10,2.32413375264e-10,721631.8649101797,695848.4289341319,1.2764592687620269,0.7834170854271358,1.2308522114347358,1.0370532358829088,0.9642706520737453
1128,MN54767,16168.7002,0.55947,7.50452,9.73719,2231.04004,3987.75,0.77711,1.389,2.593e-05,14.453298,2.137e-05,16.67695,9.238e-09,1.08e-08,1.340161934898e-10,1.2912343812000002e-10,401246.0882928144,386597.12011976057,1.213383247543285,0.8241419205553413,1.1690842173630658,1.0378920778523022,0.9634913121885351
